,Date,Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID
0,2024-01-01 16:22:45,0.0,0.0,0.0,0.0,0.0,0.0,991.0,-12.8,,,25.2,77.6,1.0,
1,2024-01-01 16:30:00,0.0,0.0,0.0,0.0,0.0,0.1,991.0,-12.8,,,25.6,77.8,1.0,
2,2024-01-01 17:30:00,69.4,2.29,2.36,2.295,2.358,55.7,990.0,-13.1,,,13.5,77.6,1.0,
3,2024-01-01 18:30:00,69.7,2.3,2.36,4.595,4.722,55.5,990.0,-13.1,,,12.8,77.6,1.0,
4,2024-01-01 19:30:00,70.0,2.3,2.37,6.895,7.088,55.4,990.0,-13.5,,,13.1,77.4,1.0,
5,2024-01-01 20:30:00,69.9,2.3,2.37,9.195,9.459,55.7,990.0,-13.9,,,13.0,77.9,1.0,
6,2024-01-01 21:30:00,70.2,2.3,2.37,11.495,11.83,55.7,990.0,-14.0,,,13.2,78.9,1.0,
7,2024-01-01 22:30:00,70.4,2.3,2.37,13.795,14.205,56.0,990.0,-14.4,,,13.3,79.0,1.0,
8,2024-01-01 23:30:00,70.5,2.3,2.38,16.095,16.583,56.0,990.0,-14.8,,,13.2,80.1,1.0,
9,2024-01-02 00:30:00,70.4,2.3,2.38,18.395,18.965,56.3,990.0,-15.1,,,12.9,79.5,1.0,
10,2024-01-02 01:30:00,70.4,2.3,2.38,20.695,21.345,56.3,990.0,-14.9,,,12.9,78.4,1.0,
11,2024-01-02 02:30:00,70.6,2.3,2.38,22.994,23.728,56.3,990.0,-15.3,,,12.9,78.4,1.0,
12,2024-01-02 03:30:00,70.7,2.3,2.39,25.294,26.115,56.3,990.0,-15.8,,,12.7,78.6,1.0,
13,2024-01-02 04:30:00,70.9,2.3,2.39,27.594,28.509,56.6,990.0,-16.5,,,12.3,79.8,1.0,
14,2024-01-02 05:30:00,71.0,2.3,2.4,29.894,30.905,56.6,989.0,-16.9,,,12.0,80.3,1.0,
15,2024-01-02 06:30:00,71.2,2.3,2.4,32.194,33.307,56.6,989.0,-17.5,,,11.8,79.6,1.0,
16,2024-01-02 07:30:00,71.4,2.3,2.41,34.494,35.716,56.9,989.0,-18.3,,,11.3,80.5,1.0,
17,2024-01-02 08:30:00,71.4,2.3,2.42,36.794,38.258,56.6,989.0,-19.1,,,10.8,82.0,1.0,
18,2024-01-02 09:30:00,71.7,2.3,2.42,39.094,40.832,56.3,989.0,-19.2,,,10.8,80.2,1.0,
19,2024-01-02 10:30:00,71.6,2.3,2.42,41.394,43.253,56.6,989.0,-19.6,,,10.6,79.3,1.0,
20,2024-01-02 11:30:00,71.6,2.3,2.42,43.694,45.675,57.2,989.0,-19.8,,,10.6,77.3,1.0,
21,2024-01-02 12:30:00,71.6,2.3,2.42,45.994,48.097,57.2,988.0,-19.8,,,10.7,76.0,1.0,
22,2024-01-02 13:30:00,71.5,2.3,2.42,48.294,50.859,56.9,988.0,-19.6,,,10.8,75.2,1.0,
23,2024-01-02 14:30:00,71.4,2.3,2.42,50.594,53.591,57.2,988.0,-19.6,,,10.7,74.7,1.0,
