,Date,Motorspeed(%),Actual(m3/h),Actual(Nm3/h),Actual(m3),Actual(Nm3),Filter Press.(hPa),Air Pressure(hPa),Outdoor Temp.('C),Filter Temp.('C),Chamber Temp.('C),Temperature orifice('C),Rel.Humidity(%),Magazine Position,Sample ID
0,2023-12-06 10:23:54,0.0,0.0,0.0,0.0,0.0,0.5,1006.0,-8.1,25.7,20.0,21.2,84.3,1.0,
1,2023-12-06 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1006.0,-8.1,25.7,21.1,21.0,82.7,1.0,
2,2023-12-06 11:30:00,39.4,2.29,2.35,2.295,2.354,67.4,1006.0,-8.4,12.1,20.7,17.0,82.2,1.0,
3,2023-12-06 12:30:00,39.6,2.3,2.34,4.603,4.695,66.4,1006.0,-6.6,12.6,20.7,18.9,74.4,1.0,
4,2023-12-06 13:30:00,39.9,2.3,2.34,6.901,7.036,66.6,1006.0,-6.5,14.1,20.7,20.6,73.0,1.0,
5,2023-12-06 14:30:00,40.4,2.3,2.34,9.198,9.378,69.1,1006.0,-6.7,15.1,20.6,21.9,71.9,1.0,
6,2023-12-06 15:30:00,40.6,2.3,2.36,11.496,11.737,69.6,1006.0,-8.6,15.6,20.6,22.6,79.4,1.0,
7,2023-12-06 16:30:00,40.8,2.3,2.37,13.794,14.111,69.2,1007.0,-10.1,16.0,20.7,23.1,84.7,1.0,
8,2023-12-06 17:30:00,40.8,2.3,2.38,16.091,16.486,68.9,1007.0,-10.1,16.3,20.6,23.4,86.4,1.0,
9,2023-12-06 18:30:00,40.8,2.3,2.37,18.389,18.859,69.8,1007.0,-9.9,16.8,20.7,23.8,86.1,1.0,
10,2023-12-06 19:30:00,40.8,2.3,2.37,20.687,21.231,69.7,1008.0,-9.6,17.1,20.7,24.2,86.9,1.0,
11,2023-12-06 20:30:00,40.7,2.3,2.36,22.984,23.596,70.5,1009.0,-8.7,17.6,20.7,24.6,85.4,1.0,
12,2023-12-06 21:30:00,40.7,2.3,2.36,25.282,25.96,70.2,1009.0,-8.6,18.0,20.7,25.0,84.0,1.0,
13,2023-12-06 22:30:00,40.8,2.3,2.37,27.58,28.328,70.5,1009.0,-8.8,18.3,20.7,25.3,85.2,1.0,
14,2023-12-06 23:30:00,40.8,2.3,2.37,29.877,30.696,70.2,1010.0,-8.8,18.6,20.7,25.6,85.8,1.0,
15,2023-12-07 00:30:00,40.9,2.3,2.37,32.175,33.067,70.7,1010.0,-8.9,18.9,20.7,25.9,85.8,1.0,
