,EndTimeUTC,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2
0,2023-07-31 20:00:00,300.89,5187.37,5234.0,2296.0,100.0,1.0,2938.0,2296.0,393.28
1,2023-07-31 21:00:00,337.33,5775.04,5822.0,2428.0,100.0,1.0,3394.0,2428.0,393.48
2,2023-07-31 22:00:00,424.34,7315.68,7390.0,3909.0,100.0,1.0,3481.0,3909.0,399.24
3,2023-07-31 23:00:00,436.54,7473.58,7542.0,4166.0,100.0,1.0,3376.0,4166.0,389.05
4,2023-08-01 00:00:00,385.16,6640.12,6700.0,3368.0,100.0,1.0,3332.0,3368.0,407.39
5,2023-08-01 01:00:00,368.05,6300.98,6360.0,3496.0,95.0,1.0,2864.0,3496.0,406.69
6,2023-08-01 02:00:00,364.38,6281.86,6345.0,3553.0,100.0,1.0,2792.0,3553.0,411.02
7,2023-08-01 03:00:00,349.25,5979.16,6029.0,3207.0,100.0,1.0,2822.0,3207.0,405.84
8,2023-08-01 04:00:00,431.76,7443.48,7513.0,4341.0,100.0,1.0,3172.0,4341.0,395.68
9,2023-08-01 05:00:00,420.25,7194.6,7262.0,3778.0,100.0,1.0,3484.0,3778.0,376.94
10,2023-08-01 06:00:00,287.28,4952.63,5004.0,1381.0,100.0,1.0,3623.0,1381.0,369.01
11,2023-08-01 07:00:00,720.73,12338.89,12455.0,1219.0,95.0,1.0,11236.0,1219.0,359.32
12,2023-08-01 08:00:00,256.32,4419.04,4466.0,1291.0,100.0,1.0,3175.0,1291.0,357.25
13,2023-08-01 09:00:00,229.89,3935.77,3972.0,944.0,100.0,1.0,3028.0,944.0,353.57
14,2023-08-01 10:00:00,264.97,4568.09,4618.0,1186.0,100.0,1.0,3432.0,1186.0,355.82
15,2023-08-01 11:00:00,223.01,3817.85,3855.0,775.0,100.0,1.0,3080.0,775.0,352.46
16,2023-08-01 12:00:00,240.01,4137.75,4178.0,934.0,100.0,1.0,3244.0,934.0,353.63
17,2023-08-01 13:00:00,225.96,3868.36,3909.0,902.0,100.0,1.0,3007.0,902.0,350.45
18,2023-08-01 14:00:00,214.27,3694.08,3732.0,812.0,100.0,1.0,2920.0,812.0,351.96
19,2023-08-01 15:00:00,250.05,4280.85,4318.0,1107.0,100.0,1.0,3211.0,1107.0,352.79
20,2023-08-01 16:00:00,256.1,4415.21,4457.0,1284.0,100.0,1.0,3173.0,1284.0,357.83
21,2023-08-01 17:00:00,258.4,4423.74,4462.0,1271.0,100.0,1.0,3191.0,1271.0,360.03
22,2023-08-01 18:00:00,294.78,5082.04,5127.0,1536.0,100.0,1.0,3591.0,1536.0,367.12
23,2023-08-01 19:00:00,274.63,4701.68,4745.0,1407.0,100.0,1.0,3338.0,1407.0,366.61
24,2023-08-01 20:00:00,280.23,4831.17,4880.0,1426.0,100.0,1.0,3454.0,1426.0,370.07
25,2023-08-01 21:00:00,268.94,4604.22,4645.0,1384.0,100.0,1.0,3261.0,1384.0,379.8
26,2023-08-01 22:00:00,253.84,4376.16,4419.0,1288.0,100.0,1.0,3131.0,1288.0,399.81
27,2023-08-01 23:00:00,295.14,5052.8,5103.0,2079.0,95.0,1.0,3024.0,2079.0,413.56
28,2023-08-02 00:00:00,315.24,5434.73,5489.0,2498.0,100.0,1.0,2991.0,2498.0,419.01
29,2023-08-02 01:00:00,318.11,5445.99,5497.0,2358.0,100.0,1.0,3139.0,2358.0,419.71
30,2023-08-02 02:00:00,327.68,5649.2,5710.0,2459.0,100.0,1.0,3251.0,2459.0,429.25
31,2023-08-02 03:00:00,380.07,6506.82,6571.0,3158.0,100.0,1.0,3413.0,3158.0,421.24
32,2023-08-02 04:00:00,463.51,7990.9,8069.0,4056.0,100.0,1.0,4013.0,4056.0,417.13
33,2023-08-02 05:00:00,469.01,8029.5,8105.0,4052.0,95.0,1.0,4053.0,4052.0,398.83
34,2023-08-02 06:00:00,394.89,6807.96,6871.0,3188.0,100.0,1.0,3683.0,3188.0,390.01
35,2023-08-02 07:00:00,316.31,5415.3,5467.0,2092.0,100.0,1.0,3375.0,2092.0,380.26
36,2023-08-02 08:00:00,254.58,4389.02,4435.0,1214.0,100.0,1.0,3221.0,1214.0,370.96
37,2023-08-02 09:00:00,285.87,4894.01,4942.0,1452.0,100.0,1.0,3490.0,1452.0,366.53
38,2023-08-02 10:00:00,245.09,4225.35,4269.0,1163.0,100.0,1.0,3106.0,1163.0,363.55
39,2023-08-02 11:00:00,234.87,4021.05,4062.0,1143.0,100.0,1.0,2919.0,1143.0,361.43
40,2023-08-02 12:00:00,248.05,4276.45,4322.0,1192.0,100.0,1.0,3130.0,1192.0,360.8
41,2023-08-02 13:00:00,235.31,4028.57,4066.0,964.0,100.0,1.0,3102.0,964.0,357.35
42,2023-08-02 14:00:00,277.76,4788.59,4839.0,1650.0,100.0,1.0,3189.0,1650.0,364.97
43,2023-08-02 15:00:00,329.6,5642.7,5702.0,2430.0,100.0,1.0,3272.0,2430.0,364.14
44,2023-08-02 16:00:00,298.52,5146.44,5196.0,2046.0,95.0,1.0,3150.0,2046.0,364.58
45,2023-08-02 17:00:00,301.58,5163.11,5209.0,2000.0,100.0,1.0,3209.0,2000.0,371.12
46,2023-08-02 18:00:00,294.47,5076.65,5123.0,1987.0,100.0,1.0,3136.0,1987.0,387.41
47,2023-08-02 19:00:00,340.09,5822.39,5874.0,2336.0,100.0,1.0,3538.0,2336.0,396.78
48,2023-08-02 20:00:00,353.97,6102.37,6160.0,2338.0,100.0,1.0,3822.0,2338.0,395.48
49,2023-08-02 21:00:00,354.66,6071.77,6130.0,2158.0,100.0,1.0,3972.0,2158.0,398.75
50,2023-08-02 22:00:00,358.64,6182.9,6245.0,2329.0,100.0,1.0,3916.0,2329.0,410.71
51,2023-08-02 23:00:00,379.89,6503.78,6565.0,2706.0,100.0,1.0,3859.0,2706.0,415.01
52,2023-08-03 00:00:00,396.42,6834.23,6913.0,3097.0,95.0,1.0,3816.0,3097.0,421.69
53,2023-08-03 01:00:00,408.53,6993.99,7060.0,3272.0,100.0,1.0,3788.0,3272.0,425.25
54,2023-08-03 02:00:00,406.6,7009.78,7083.0,3405.0,100.0,1.0,3678.0,3405.0,419.63
55,2023-08-03 03:00:00,375.47,6428.06,6487.0,2708.0,100.0,1.0,3779.0,2708.0,405.85
56,2023-08-03 04:00:00,298.56,5147.16,5200.0,1917.0,100.0,1.0,3283.0,1917.0,395.53
57,2023-08-03 05:00:00,252.5,4322.8,4363.0,1452.0,100.0,1.0,2911.0,1452.0,383.33
58,2023-08-03 06:00:00,272.82,4703.35,4748.0,1731.0,100.0,1.0,3017.0,1731.0,384.05
59,2023-08-03 07:00:00,366.34,6271.76,6332.0,2878.0,95.0,1.0,3454.0,2878.0,383.6
60,2023-08-03 08:00:00,314.2,5416.84,5478.0,2084.0,100.0,1.0,3394.0,2084.0,376.39
61,2023-08-03 09:00:00,266.09,4555.46,4604.0,1396.0,100.0,1.0,3208.0,1396.0,369.59
62,2023-08-03 10:00:00,267.37,4609.54,4661.0,1129.0,100.0,1.0,3532.0,1129.0,364.36
63,2023-08-03 11:00:00,259.97,4450.63,4497.0,1048.0,100.0,1.0,3449.0,1048.0,357.71
64,2023-08-03 12:00:00,261.06,4500.68,4551.0,985.0,100.0,1.0,3566.0,985.0,355.67
65,2023-08-03 13:00:00,249.32,4268.44,4307.0,1037.0,100.0,1.0,3270.0,1037.0,351.35
66,2023-08-03 14:00:00,288.81,4979.04,5026.0,1333.0,100.0,1.0,3693.0,1333.0,353.4
67,2023-08-03 15:00:00,245.22,4198.18,4239.0,1158.0,100.0,1.0,3081.0,1158.0,352.86
68,2023-08-03 16:00:00,279.17,4812.96,4860.0,1572.0,100.0,1.0,3288.0,1572.0,361.6
69,2023-08-03 17:00:00,324.17,5549.82,5598.0,2463.0,100.0,1.0,3135.0,2463.0,372.31
70,2023-08-03 18:00:00,360.72,6218.83,6272.0,2868.0,95.0,1.0,3404.0,2868.0,387.69
71,2023-08-03 19:00:00,383.04,6557.58,6613.0,3388.0,100.0,1.0,3225.0,3388.0,386.65
72,2023-08-03 20:00:00,365.87,6307.56,6364.0,2893.0,100.0,1.0,3471.0,2893.0,397.19
73,2023-08-03 21:00:00,386.43,6615.62,6677.0,3068.0,100.0,1.0,3609.0,3068.0,408.01
74,2023-08-03 22:00:00,358.75,6184.81,6247.0,2635.0,100.0,1.0,3612.0,2635.0,401.69
75,2023-08-03 23:00:00,327.69,5610.13,5663.0,2016.0,100.0,1.0,3647.0,2016.0,385.2
76,2023-08-04 00:00:00,329.42,5679.12,5735.0,2022.0,100.0,1.0,3713.0,2022.0,389.46
77,2023-08-04 01:00:00,329.61,5642.93,5692.0,1929.0,95.0,1.0,3763.0,1929.0,385.18
78,2023-08-04 02:00:00,328.09,5656.34,5716.0,1897.0,100.0,1.0,3819.0,1897.0,388.23
79,2023-08-04 03:00:00,306.4,5245.54,5293.0,1873.0,100.0,1.0,3420.0,1873.0,385.04
80,2023-08-04 04:00:00,327.16,5640.18,5698.0,2082.0,100.0,1.0,3616.0,2082.0,388.35
81,2023-08-04 05:00:00,332.58,5693.74,5746.0,1948.0,100.0,1.0,3798.0,1948.0,385.25
82,2023-08-04 06:00:00,365.32,6298.13,6369.0,1757.0,100.0,1.0,4612.0,1757.0,384.46
83,2023-08-04 07:00:00,314.19,5378.87,5434.0,1632.0,100.0,1.0,3802.0,1632.0,378.61
84,2023-08-04 08:00:00,256.22,4417.25,4462.0,968.0,100.0,1.0,3494.0,968.0,366.55
85,2023-08-04 09:00:00,225.34,3857.77,3890.0,753.0,100.0,1.0,3137.0,753.0,360.09
86,2023-08-04 10:00:00,200.07,3449.15,3478.0,589.0,100.0,1.0,2889.0,589.0,358.71
87,2023-08-04 11:00:00,181.9,3114.13,3140.0,506.0,100.0,1.0,2634.0,506.0,355.31
88,2023-08-04 12:00:00,194.07,3345.69,3377.0,623.0,100.0,1.0,2754.0,623.0,355.36
89,2023-08-04 13:00:00,199.24,3410.93,3440.0,661.0,100.0,1.0,2779.0,661.0,354.91
90,2023-08-04 14:00:00,197.7,3408.36,3441.0,658.0,100.0,1.0,2783.0,658.0,354.54
91,2023-08-04 15:00:00,220.37,3772.69,3809.0,776.0,100.0,1.0,3033.0,776.0,353.44
92,2023-08-04 16:00:00,205.7,3546.26,3579.0,772.0,95.0,1.0,2807.0,772.0,357.73
93,2023-08-04 17:00:00,194.16,3323.96,3355.0,809.0,100.0,1.0,2546.0,809.0,359.35
94,2023-08-04 18:00:00,215.82,3720.68,3754.0,1186.0,100.0,1.0,2568.0,1186.0,364.58
95,2023-08-04 19:00:00,247.6,4238.9,4276.0,1424.0,100.0,1.0,2852.0,1424.0,367.79
96,2023-08-04 20:00:00,257.69,4442.61,4489.0,1679.0,100.0,1.0,2810.0,1679.0,374.29
97,2023-08-04 21:00:00,285.31,4884.58,4925.0,1751.0,100.0,1.0,3174.0,1751.0,378.58
98,2023-08-04 22:00:00,261.11,4501.59,4546.0,1559.0,100.0,1.0,2987.0,1559.0,388.41
99,2023-08-04 23:00:00,300.39,5142.74,5190.0,1446.0,100.0,1.0,3744.0,1446.0,393.12
100,2023-08-05 00:00:00,245.12,4225.8,4266.0,1295.0,100.0,1.0,2971.0,1295.0,399.29
101,2023-08-05 01:00:00,280.46,4801.44,4842.0,1823.0,100.0,1.0,3019.0,1823.0,403.39
102,2023-08-05 02:00:00,359.36,6195.32,6260.0,2880.0,100.0,1.0,3380.0,2880.0,405.47
103,2023-08-05 03:00:00,325.86,5578.76,5627.0,2238.0,95.0,1.0,3389.0,2238.0,400.47
104,2023-08-05 04:00:00,336.92,5808.52,5867.0,2460.0,100.0,1.0,3407.0,2460.0,396.89
105,2023-08-05 05:00:00,342.37,5861.39,5913.0,2773.0,100.0,1.0,3140.0,2773.0,388.86
106,2023-08-05 06:00:00,302.48,5214.76,5268.0,2133.0,100.0,1.0,3135.0,2133.0,384.75
107,2023-08-05 07:00:00,207.46,3551.76,3584.0,1123.0,100.0,1.0,2461.0,1123.0,374.59
108,2023-08-05 08:00:00,199.76,3443.8,3480.0,630.0,100.0,1.0,2850.0,630.0,368.36
109,2023-08-05 09:00:00,198.08,3391.17,3425.0,558.0,100.0,1.0,2867.0,558.0,362.58
110,2023-08-05 10:00:00,209.03,3603.6,3640.0,615.0,100.0,1.0,3025.0,615.0,360.79
111,2023-08-05 11:00:00,240.53,4117.81,4156.0,743.0,100.0,1.0,3413.0,743.0,361.65
112,2023-08-05 12:00:00,241.97,4171.53,4215.0,685.0,100.0,1.0,3530.0,685.0,361.19
113,2023-08-05 13:00:00,222.82,3814.76,3850.0,671.0,100.0,1.0,3179.0,671.0,358.83
114,2023-08-05 14:00:00,226.82,3910.29,3951.0,650.0,100.0,1.0,3301.0,650.0,358.17
115,2023-08-05 15:00:00,227.71,3898.32,3934.0,626.0,100.0,1.0,3308.0,626.0,357.04
116,2023-08-05 16:00:00,229.7,3960.08,4002.0,606.0,100.0,1.0,3396.0,606.0,358.67
117,2023-08-05 17:00:00,239.52,4100.65,4139.0,776.0,100.0,1.0,3363.0,776.0,379.87
118,2023-08-05 18:00:00,261.54,4508.95,4549.0,1207.0,100.0,1.0,3342.0,1207.0,408.83
119,2023-08-05 19:00:00,276.1,4726.84,4769.0,1403.0,95.0,1.0,3366.0,1403.0,419.38
120,2023-08-05 20:00:00,325.89,5618.4,5672.0,2039.0,100.0,1.0,3633.0,2039.0,420.87
121,2023-08-05 21:00:00,413.66,7081.91,7141.0,3014.0,100.0,1.0,4127.0,3014.0,422.45
122,2023-08-05 22:00:00,465.53,8025.8,8106.0,3427.0,100.0,1.0,4679.0,3427.0,430.92
