,datetime,CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2
0,2024-01-01 00:00:00,1.45,0.1,0.001,0.0,0.0397,0.006,0.007,0.0008
1,2024-01-01 01:00:00,1.46,0.1,0.001,0.0,0.0412,0.008,0.008,0.0008
2,2024-01-01 02:00:00,1.46,0.1,0.001,0.0,0.039,0.017,0.016,0.0009
3,2024-01-01 03:00:00,1.46,0.13,0.001,0.0,0.0371,0.013,0.011,0.0011
4,2024-01-01 04:00:00,1.47,0.1,0.001,0.0,0.0345,0.01,0.009,0.0012
5,2024-01-01 05:00:00,1.47,0.1,0.001,0.0,0.0362,0.01,0.009,0.0014
6,2024-01-01 06:00:00,1.48,0.1,0.001,0.0,0.0331,0.009,0.008,0.0015
7,2024-01-01 07:00:00,1.47,0.1,0.001,0.0,0.0313,0.008,0.006,0.0012
8,2024-01-01 08:00:00,1.47,0.1,0.001,0.004,0.0264,0.008,0.007,0.0012
9,2024-01-01 09:00:00,1.48,0.1,0.001,0.004,0.0264,0.008,0.007,0.0014
10,2024-01-01 10:00:00,1.48,0.1,0.002,0.002,0.0304,0.008,0.007,0.0013
11,2024-01-01 11:00:00,1.47,0.1,0.002,0.0,0.0358,0.007,0.007,0.0013
12,2024-01-01 12:00:00,1.47,0.1,0.003,0.0,0.0341,0.006,0.004,0.0015
13,2024-01-01 13:00:00,1.46,0.1,0.004,0.0,0.0366,0.007,0.005,0.0016
14,2024-01-01 14:00:00,1.46,0.1,0.002,0.0,0.0383,0.006,0.005,0.0016
15,2024-01-01 15:00:00,1.46,0.03,0.002,0.0,0.0361,0.007,0.006,0.0015
16,2024-01-01 16:00:00,1.46,0.0,0.002,0.001,0.0296,0.008,0.006,0.0013
17,2024-01-01 17:00:00,1.46,0.1,0.001,0.008,0.0228,0.009,0.008,0.0016
18,2024-01-01 18:00:00,1.47,0.1,0.001,0.009,0.0193,0.008,0.007,0.0016
19,2024-01-01 19:00:00,1.49,0.1,0.005,0.026,0.0055,0.017,0.015,0.0016
20,2024-01-01 20:00:00,1.48,0.1,0.002,0.013,0.017,0.01,0.009,0.0015
21,2024-01-01 21:00:00,1.52,0.1,0.006,0.027,0.0026,0.012,0.008,0.0017
22,2024-01-01 22:00:00,1.54,0.1,0.007,0.029,0.002,0.011,0.009,0.0018
23,2024-01-01 23:00:00,1.51,0.17,0.012,0.03,0.0015,0.011,0.01,0.0018
24,2024-01-02 00:00:00,1.52,0.17,0.006,0.025,0.0045,0.011,0.009,0.0017
25,2024-01-02 01:00:00,1.51,0.1,0.002,0.022,0.0063,0.011,0.009,0.0017
26,2024-01-02 02:00:00,1.53,0.1,0.004,0.024,0.0036,0.009,0.008,0.0019
27,2024-01-02 03:00:00,1.51,0.33,0.001,0.013,0.0146,0.007,0.008,0.0019
28,2024-01-02 04:00:00,1.52,0.3,0.001,0.011,0.0135,0.006,0.008,0.0019
29,2024-01-02 05:00:00,1.55,0.3,0.001,0.007,0.018,0.01,0.007,0.002
30,2024-01-02 06:00:00,1.53,0.3,0.001,0.009,0.017,0.006,0.006,0.0019
31,2024-01-02 07:00:00,1.51,0.3,0.0,0.006,0.0258,0.006,0.006,0.0021
32,2024-01-02 08:00:00,1.48,0.3,0.001,0.011,0.0229,0.008,0.007,0.0018
33,2024-01-02 09:00:00,1.47,0.3,0.001,0.013,0.0272,0.008,0.007,0.0019
34,2024-01-02 10:00:00,1.46,0.3,0.002,0.014,0.034,0.005,0.006,0.0023
35,2024-01-02 11:00:00,1.46,0.3,0.003,0.007,0.0403,0.004,0.006,0.0019
36,2024-01-02 12:00:00,1.46,0.3,0.004,0.006,0.042,0.007,0.006,0.0019
37,2024-01-02 13:00:00,1.46,0.33,0.005,0.007,0.0422,0.007,0.006,0.0019
38,2024-01-02 14:00:00,1.47,0.43,0.005,0.011,0.0394,0.008,0.006,0.0019
39,2024-01-02 15:00:00,1.47,0.2,0.003,0.011,0.0403,0.008,0.006,0.0021
40,2024-01-02 16:00:00,1.47,0.1,0.003,0.015,0.037,0.01,0.008,0.0021
41,2024-01-02 17:00:00,1.46,0.0,0.001,0.018,0.0367,0.017,0.008,0.0021
42,2024-01-02 18:00:00,1.46,0.0,0.001,0.015,0.039,0.011,0.007,0.0023
43,2024-01-02 19:00:00,1.47,0.0,0.001,0.017,0.0362,0.009,0.007,0.0022
44,2024-01-02 20:00:00,1.47,0.03,0.001,0.016,0.0377,0.008,0.007,0.0024
45,2024-01-02 21:00:00,1.47,0.0,0.001,0.018,0.0353,0.009,0.007,0.0026
46,2024-01-02 22:00:00,1.48,0.0,0.001,0.024,0.0303,0.009,0.008,0.0026
47,2024-01-02 23:00:00,1.48,0.0,0.001,0.022,0.0312,0.009,0.007,0.0029
48,2024-01-03 00:00:00,1.51,0.0,0.001,0.021,0.0315,0.009,0.008,0.0027
49,2024-01-03 01:00:00,1.5,0.0,0.001,0.021,0.0316,0.009,0.007,0.0026
50,2024-01-03 02:00:00,1.5,0.0,0.001,0.021,0.0314,0.008,0.006,0.0027
51,2024-01-03 03:00:00,1.47,0.1,0.001,0.023,0.0284,0.009,0.007,0.0023
52,2024-01-03 04:00:00,1.52,0.1,0.001,0.028,0.0245,0.009,0.008,0.0023
